vendor_id,vendor_name,address,bank_account,phone,tax_id,category
V-021,Gutierrez Group,"6545 Gloria Mountains, North Marieland, NE 13157",GB95XXLZ28098851656049,351-698-3273x1585,BM-9368998,Facilities
V-022,"Gallegos, Adams and White","5022 Jones Streets Apt. 183, Barnesmouth, GA 49004",GB67JXKY99102290147679,664.238.1561x497,NX-3690034,Marketing Services
V-023,Duran LLC,"6226 Vincent Village, Charleston, NE 02957",GB70OCKS69664160529751,(313)369-6816x45352,GJ-8835523,Raw Materials
V-024,Gonzalez-Morrison,"77997 Lin Road, Edwardland, NJ 58462",GB19UJZI90581477005411,+1-998-467-9807x935,CP-0715182,Consulting
V-025,"Kim, Gonzales and Mills","6659 Kristina Rue Suite 151, Mitchellberg, MA 11183",GB29SVEL46291486528168,(305)642-3573x322,IM-1888059,IT Equipment
V-026,Moore-White,"706 Rhodes Freeway, Bishopmouth, IN 70494",GB14HJZZ73597746886239,(640)375-8181,OC-2478261,Consulting
V-027,Arias-Perry,"61530 Galvan Villages Suite 220, Samanthafort, UT 18692",GB74YWPO90104328986143,510-436-9711x7980,AL-4609539,Consulting
V-028,"Barnett, Mills and Ward","USS Myers, FPO AA 06207",GB52UMLI05153195205852,001-677-822-1704x30305,XD-8740345,IT Equipment
V-029,"Rivera, Martinez and Richardson","5277 Glass Path Suite 161, Morrisonburgh, ND 39005",GB73KDCK44796275705964,+1-301-565-8202x9702,RC-5569092,Marketing Services
V-030,Watson-Hines,"5431 Jill Parks Suite 814, Janeborough, RI 37932",GB35WPGD21727155188442,001-725-983-1323x705,TU-8291146,Consulting
V-031,Fox-Hammond,"51778 Anderson Village, Port Tammy, NE 66412",GB92BDQE42253584143842,+1-749-281-8299x2299,AN-0109439,Marketing Services
V-032,"Johnson, Small and Gardner","3647 Haley Estate Suite 677, West Catherine, MD 94658",GB95KXLM25881537147321,7465963259,BF-2787747,Marketing Services
V-033,Wagner-Levy,"04797 Herrera Vista Apt. 624, Kathrynstad, AZ 53006",GB63BSRG58416878499121,(255)485-2398x6800,IU-5787298,Marketing Services
V-034,"Flores, Long and Jensen","887 Wells Brook Suite 516, Lauratown, PA 62706",GB95IUZY99309728962309,001-913-207-5626x368,YU-2838578,Office Supplies
V-GH1,Health Services Inc,"USCGC Barr, FPO AA 72102",GB68VYXV49733484344375,555-0142,,Consulting
V-GH2,Media Services Inc,"PO Box 3803, Annview",GB19JDSV86652404157473,555-0142,,Consulting
V-GH3,Defense Services Inc,"PO Box 5010, Sarahview",GB98EDTX93308330165712,6822677345,,Consulting
V-SPLIT,Summit Facilities Maintenance LLC,"PSC 1938, Box 0262, APO AE 52535",GB60ZPFX40049915478872,574.431.5274x20549,QG-9668516,Facilities
V-RING1,Gill Distribution LLC,"5304 Young Terrace, Stephanieport, OR 95250",GB62SAIU53017426841459,932.572.7956,KH-9187851,Logistics
V-RING2,Brown Cargo LLC,"822 Bond Mills, Lake Jamieshire, NM 12420",GB62SAIU53017426841459,932.572.7956,DK-8707286,Logistics
V-RING3,Brown Distribution Group,"5304 Young Terrace, Stephanieport, OR 95250",GB62SAIU53017426841459,932.572.7956,LE-7406403,Logistics
V-RING4,Williams Freight Inc,"017 Justin Falls, Port Darlene, VA 85157",GB62SAIU53017426841459,(456)576-6182x51286,YO-0047868,Logistics
