invoice_id,date,vendor_id,requester_id,approver_id,amount,note
INV-1225,2025-02-20,V-028,EMP-014,EMP-017,20552.49,
INV-1582,2025-02-22,V-028,EMP-017,EMP-013,23756.15,
INV-1610,2025-02-22,V-030,EMP-002,EMP-003,9286.22,
INV-1697,2025-02-22,V-RING1,EMP-014,EMP-021,5705.05,
INV-1051,2025-02-23,V-033,EMP-000,EMP-021,22372.38,
INV-1163,2025-02-23,V-022,EMP-013,EMP-003,7807.24,
INV-1087,2025-02-24,V-009,EMP-020,EMP-014,21439.94,
INV-1430,2025-02-24,V-002,EMP-000,EMP-021,13695.89,
INV-1532,2025-02-24,V-031,EMP-019,EMP-021,4813.83,
INV-1012,2025-02-24,V-016,EMP-016,EMP-017,12258.21,
INV-1120,2025-02-24,V-021,EMP-000,EMP-018,19762.59,
INV-1030,2025-02-25,V-006,EMP-001,EMP-018,17517.89,
INV-1065,2025-02-25,V-015,EMP-008,EMP-017,18928.88,
INV-1547,2025-02-25,V-034,EMP-019,EMP-010,21958.47,
INV-1237,2025-02-25,V-028,EMP-024,EMP-010,12390.73,
INV-1254,2025-02-25,V-009,EMP-021,EMP-003,5498.24,
INV-1240,2025-02-25,V-003,EMP-015,EMP-018,10316.63,
INV-1006,2025-02-26,V-032,EMP-015,EMP-013,18175.4,
INV-1580,2025-02-28,V-031,EMP-017,EMP-010,2850.08,
INV-1172,2025-02-28,V-026,EMP-002,EMP-003,23815.33,
INV-1009,2025-02-28,V-033,EMP-008,EMP-014,16374.76,
INV-1218,2025-03-01,V-029,EMP-022,EMP-021,15634.36,
INV-1632,2025-03-01,V-003,EMP-007,EMP-013,22202.37,
INV-1482,2025-03-02,V-019,EMP-000,EMP-003,22501.26,
INV-1269,2025-03-03,V-008,EMP-024,EMP-021,7053.31,
INV-1134,2025-03-03,V-029,EMP-008,EMP-021,6145.98,
INV-1665,2025-03-03,V-SPLIT,EMP-013,EMP-011,9716.75,"split PO - same job, separate invoice"
INV-1666,2025-03-04,V-SPLIT,EMP-013,EMP-011,9427.79,"split PO - same job, separate invoice"
INV-1089,2025-03-04,V-033,EMP-014,EMP-013,13444.13,
INV-1667,2025-03-05,V-SPLIT,EMP-013,EMP-011,9957.61,"split PO - same job, separate invoice"
INV-1075,2025-03-05,V-021,EMP-019,EMP-017,15971.79,
INV-1235,2025-03-06,V-020,EMP-000,EMP-017,6479.02,
INV-1229,2025-03-06,V-001,EMP-001,EMP-010,5959.12,
INV-1636,2025-03-06,V-033,EMP-023,EMP-021,4132.07,
INV-1056,2025-03-08,V-017,EMP-001,EMP-014,8105.32,
INV-1048,2025-03-09,V-006,EMP-002,EMP-003,12215.35,
INV-1602,2025-03-09,V-000,EMP-013,EMP-017,23897.3,
INV-1609,2025-03-09,V-021,EMP-003,EMP-019,10222.19,
INV-1443,2025-03-10,V-023,EMP-019,EMP-013,5376.22,
INV-1176,2025-03-11,V-012,EMP-019,EMP-021,17949.08,
INV-1457,2025-03-11,V-002,EMP-009,EMP-018,4442.55,
INV-1220,2025-03-11,V-007,EMP-003,EMP-013,21311.13,
INV-1334,2025-03-11,V-029,EMP-022,EMP-019,15216.9,
INV-1356,2025-03-11,V-018,EMP-022,EMP-019,4924.25,
INV-1397,2025-03-12,V-025,EMP-016,EMP-014,1230.48,
INV-1319,2025-03-12,V-006,EMP-022,EMP-010,19024.43,
INV-1423,2025-03-12,V-021,EMP-022,EMP-019,2548.0,
INV-1005,2025-03-12,V-025,EMP-011,EMP-003,23936.22,
INV-1611,2025-03-12,V-006,EMP-010,EMP-017,21161.59,
INV-1003,2025-03-13,V-031,EMP-012,EMP-019,3557.49,
INV-1514,2025-03-13,V-024,EMP-021,EMP-010,8061.76,
INV-1031,2025-03-13,V-015,EMP-006,EMP-003,12940.42,
INV-1320,2025-03-13,V-002,EMP-009,EMP-019,16751.32,
INV-1617,2025-03-13,V-024,EMP-011,EMP-018,7650.91,
INV-1573,2025-03-13,V-011,EMP-017,EMP-013,11827.96,
INV-1154,2025-03-14,V-014,EMP-020,EMP-017,21815.61,
INV-1298,2025-03-14,V-009,EMP-010,EMP-014,14048.34,
INV-1662,2025-03-14,V-GH3,EMP-007,EMP-011,9901.98,"single-source, no PO backup on file"
INV-1570,2025-03-14,V-019,EMP-003,EMP-013,9053.35,
INV-1185,2025-03-15,V-006,EMP-016,EMP-019,516.04,
INV-1259,2025-03-15,V-021,EMP-011,EMP-014,4476.52,
INV-1348,2025-03-15,V-025,EMP-011,EMP-017,22874.03,
INV-1281,2025-03-16,V-022,EMP-011,EMP-017,5785.01,
INV-1643,2025-03-18,V-015,EMP-001,EMP-019,8830.84,
INV-1614,2025-03-19,V-028,EMP-011,EMP-003,15129.71,
INV-1520,2025-03-20,V-018,EMP-007,EMP-013,2106.61,
INV-1062,2025-03-21,V-006,EMP-011,EMP-018,23376.01,
INV-1304,2025-03-21,V-031,EMP-006,EMP-003,23999.44,
INV-1629,2025-03-21,V-005,EMP-016,EMP-003,23387.37,
INV-1222,2025-03-21,V-034,EMP-013,EMP-010,17853.12,
INV-1049,2025-03-22,V-022,EMP-002,EMP-003,8963.22,
INV-1384,2025-03-23,V-024,EMP-019,EMP-003,6071.25,
INV-1440,2025-03-23,V-015,EMP-001,EMP-013,11249.67,
INV-1385,2025-03-23,V-020,EMP-018,EMP-010,7608.25,
INV-1294,2025-03-23,V-028,EMP-014,EMP-010,12617.54,
INV-1013,2025-03-24,V-019,EMP-020,EMP-003,3795.22,
INV-1314,2025-03-24,V-006,EMP-022,EMP-013,6948.75,
INV-1668,2025-03-24,V-SPLIT,EMP-013,EMP-011,9611.08,"split PO - same job, separate invoice"
INV-1369,2025-03-24,V-007,EMP-016,EMP-017,7403.37,
INV-1114,2025-03-25,V-023,EMP-005,EMP-013,18700.34,
INV-1669,2025-03-25,V-SPLIT,EMP-013,EMP-011,9544.78,"split PO - same job, separate invoice"
INV-1018,2025-03-26,V-008,EMP-004,EMP-019,22732.34,
INV-1035,2025-03-26,V-030,EMP-006,EMP-018,21673.26,
INV-1613,2025-03-26,V-009,EMP-002,EMP-014,14706.11,
INV-1345,2025-03-27,V-019,EMP-014,EMP-010,17266.26,
INV-1404,2025-03-29,V-014,EMP-023,EMP-014,14067.03,
INV-1726,2025-03-30,V-RING4,EMP-021,EMP-014,20833.71,
INV-1410,2025-03-30,V-030,EMP-016,EMP-018,7633.0,
INV-1149,2025-03-30,V-013,EMP-008,EMP-013,3895.81,
INV-1435,2025-03-31,V-018,EMP-018,EMP-010,18211.19,
INV-1160,2025-03-31,V-001,EMP-024,EMP-021,13893.49,
INV-1078,2025-03-31,V-026,EMP-021,EMP-003,16304.03,
INV-1695,2025-03-31,V-RING1,EMP-021,EMP-014,8683.0,
INV-1511,2025-04-02,V-017,EMP-017,EMP-010,15845.91,
INV-1161,2025-04-03,V-030,EMP-016,EMP-019,21998.34,
INV-1718,2025-04-03,V-RING4,EMP-021,EMP-014,10990.86,
INV-1307,2025-04-03,V-008,EMP-019,EMP-003,3828.93,
INV-1474,2025-04-05,V-026,EMP-013,EMP-017,7302.34,
INV-1560,2025-04-06,V-029,EMP-007,EMP-018,15169.78,
INV-1167,2025-04-07,V-032,EMP-000,EMP-019,10005.95,
INV-1463,2025-04-07,V-015,EMP-014,EMP-003,3849.64,
INV-1480,2025-04-07,V-017,EMP-012,EMP-014,20985.85,
INV-1290,2025-04-07,V-002,EMP-014,EMP-019,13784.01,
INV-1027,2025-04-08,V-030,EMP-007,EMP-019,19408.8,
INV-1077,2025-04-09,V-025,EMP-022,EMP-021,13372.74,
INV-1280,2025-04-10,V-032,EMP-020,EMP-013,12804.92,
INV-1137,2025-04-10,V-033,EMP-019,EMP-017,23535.18,
INV-1392,2025-04-10,V-002,EMP-012,EMP-014,13751.22,
INV-1651,2025-04-11,V-GH1,EMP-007,EMP-011,9946.13,"single-source, no PO backup on file"
INV-1564,2025-04-11,V-006,EMP-017,EMP-013,8874.16,
INV-1561,2025-04-12,V-027,EMP-012,EMP-014,17736.71,
INV-1111,2025-04-13,V-002,EMP-024,EMP-014,22798.24,
INV-1312,2025-04-13,V-024,EMP-016,EMP-018,23195.5,
INV-1335,2025-04-14,V-004,EMP-022,EMP-019,1032.06,
INV-1670,2025-04-14,V-SPLIT,EMP-013,EMP-011,9165.85,"split PO - same job, separate invoice"
INV-1477,2025-04-15,V-033,EMP-004,EMP-018,5942.18,
INV-1671,2025-04-15,V-SPLIT,EMP-013,EMP-011,9599.68,"split PO - same job, separate invoice"
INV-1407,2025-04-15,V-020,EMP-013,EMP-017,9999.1,
INV-1672,2025-04-16,V-SPLIT,EMP-013,EMP-011,9482.78,"split PO - same job, separate invoice"
INV-1586,2025-04-16,V-027,EMP-005,EMP-017,18868.66,
INV-1098,2025-04-16,V-021,EMP-017,EMP-021,10066.22,
INV-1148,2025-04-17,V-003,EMP-019,EMP-010,2516.72,
INV-1079,2025-04-18,V-019,EMP-012,EMP-014,7397.42,
INV-1268,2025-04-19,V-003,EMP-000,EMP-003,7338.85,
INV-1253,2025-04-19,V-019,EMP-011,EMP-013,13933.36,
INV-1355,2025-04-20,V-007,EMP-008,EMP-021,16941.3,
INV-1708,2025-04-20,V-RING3,EMP-021,EMP-014,7110.53,
INV-1265,2025-04-21,V-027,EMP-015,EMP-019,10028.28,
INV-1625,2025-04-21,V-001,EMP-018,EMP-014,478.97,
INV-1224,2025-04-22,V-026,EMP-008,EMP-014,16613.19,
INV-1615,2025-04-22,V-026,EMP-019,EMP-010,10700.86,
INV-1719,2025-04-23,V-RING4,EMP-014,EMP-021,9739.8,
INV-1698,2025-04-24,V-RING2,EMP-014,EMP-021,4215.22,
INV-1460,2025-04-25,V-007,EMP-005,EMP-018,12762.89,
INV-1083,2025-04-26,V-021,EMP-002,EMP-003,16196.18,
INV-1504,2025-04-26,V-029,EMP-018,EMP-013,23767.06,
INV-1641,2025-04-27,V-006,EMP-018,EMP-010,17388.26,
INV-1489,2025-04-28,V-026,EMP-009,EMP-017,4829.17,
INV-1462,2025-04-28,V-034,EMP-013,EMP-010,9195.74,
INV-1664,2025-04-29,V-GH3,EMP-007,EMP-011,8276.83,"single-source, no PO backup on file"
INV-1181,2025-04-30,V-020,EMP-006,EMP-003,13787.37,
INV-1467,2025-04-30,V-015,EMP-023,EMP-014,9744.03,
INV-1230,2025-04-30,V-013,EMP-002,EMP-003,14135.24,
INV-1722,2025-04-30,V-RING4,EMP-021,EMP-014,17803.16,
INV-1152,2025-04-30,V-018,EMP-022,EMP-019,1847.64,
INV-1189,2025-05-01,V-031,EMP-017,EMP-014,14876.41,
INV-1317,2025-05-01,V-026,EMP-001,EMP-018,12122.87,
INV-1584,2025-05-02,V-005,EMP-014,EMP-019,23855.89,
INV-1323,2025-05-02,V-033,EMP-013,EMP-014,18661.72,
INV-1361,2025-05-02,V-014,EMP-003,EMP-013,19040.77,
INV-1234,2025-05-02,V-008,EMP-000,EMP-010,18991.13,
INV-1569,2025-05-03,V-005,EMP-021,EMP-013,7619.48,
INV-1631,2025-05-03,V-004,EMP-009,EMP-018,17559.51,
INV-1483,2025-05-03,V-030,EMP-007,EMP-003,9609.67,
INV-1621,2025-05-04,V-003,EMP-007,EMP-019,9353.37,
INV-1513,2025-05-04,V-025,EMP-002,EMP-021,4024.44,
INV-1086,2025-05-05,V-012,EMP-022,EMP-018,11940.9,
INV-1673,2025-05-05,V-SPLIT,EMP-013,EMP-011,9308.36,"split PO - same job, separate invoice"
INV-1558,2025-05-05,V-006,EMP-021,EMP-019,4069.85,
INV-1537,2025-05-05,V-020,EMP-009,EMP-019,23231.15,
INV-1674,2025-05-06,V-SPLIT,EMP-013,EMP-011,9329.67,"split PO - same job, separate invoice"
INV-1653,2025-05-06,V-GH1,EMP-007,EMP-011,9530.84,"single-source, no PO backup on file"
INV-1021,2025-05-07,V-023,EMP-014,EMP-010,10917.94,
INV-1531,2025-05-07,V-019,EMP-015,EMP-013,8762.83,
INV-1412,2025-05-07,V-016,EMP-019,EMP-003,4735.5,
INV-1446,2025-05-07,V-034,EMP-021,EMP-019,5359.12,
INV-1693,2025-05-08,V-RING1,EMP-014,EMP-021,5641.83,
INV-1353,2025-05-08,V-023,EMP-012,EMP-010,15642.02,
INV-1644,2025-05-08,V-011,EMP-001,EMP-018,5504.69,
INV-1437,2025-05-08,V-006,EMP-005,EMP-017,11537.28,
INV-1158,2025-05-09,V-002,EMP-013,EMP-018,7837.37,
INV-1330,2025-05-10,V-002,EMP-020,EMP-018,23547.79,
INV-1502,2025-05-10,V-009,EMP-007,EMP-003,14931.77,
INV-1640,2025-05-11,V-031,EMP-018,EMP-013,8919.35,
INV-1113,2025-05-12,V-007,EMP-018,EMP-013,11241.06,
INV-1210,2025-05-12,V-033,EMP-016,EMP-021,19956.77,
INV-1701,2025-05-13,V-RING2,EMP-014,EMP-021,14481.83,
INV-1550,2025-05-13,V-021,EMP-013,EMP-014,401.56,
INV-1127,2025-05-13,V-011,EMP-015,EMP-003,8612.58,
INV-1070,2025-05-14,V-021,EMP-000,EMP-013,21067.37,
INV-1638,2025-05-15,V-021,EMP-013,EMP-003,12643.92,
INV-1403,2025-05-16,V-019,EMP-023,EMP-014,14386.29,
INV-1186,2025-05-16,V-026,EMP-020,EMP-017,1934.65,
INV-1257,2025-05-17,V-001,EMP-019,EMP-010,19932.64,
INV-1438,2025-05-17,V-000,EMP-008,EMP-018,5767.18,
INV-1382,2025-05-17,V-006,EMP-010,EMP-013,11275.37,
INV-1517,2025-05-20,V-025,EMP-024,EMP-010,856.57,
INV-1578,2025-05-21,V-001,EMP-024,EMP-003,7116.34,
INV-1242,2025-05-21,V-020,EMP-019,EMP-013,1716.52,
INV-1415,2025-05-21,V-020,EMP-015,EMP-010,13517.63,
INV-1499,2025-05-21,V-026,EMP-000,EMP-014,12776.61,
INV-1286,2025-05-21,V-030,EMP-014,EMP-018,7372.27,
INV-1590,2025-05-22,V-006,EMP-004,EMP-018,22062.63,
INV-1136,2025-05-22,V-011,EMP-006,EMP-003,17765.72,
INV-1093,2025-05-22,V-028,EMP-008,EMP-003,20180.73,
INV-1255,2025-05-23,V-022,EMP-017,EMP-003,2890.01,
INV-1720,2025-05-24,V-RING4,EMP-014,EMP-021,20123.77,
INV-1311,2025-05-25,V-012,EMP-011,EMP-019,11161.07,
INV-1266,2025-05-26,V-032,EMP-003,EMP-017,10403.44,
INV-1675,2025-05-26,V-SPLIT,EMP-013,EMP-011,9914.92,"split PO - same job, separate invoice"
INV-1203,2025-05-27,V-003,EMP-019,EMP-010,11996.95,
INV-1676,2025-05-27,V-SPLIT,EMP-013,EMP-011,9445.8,"split PO - same job, separate invoice"
INV-1425,2025-05-28,V-030,EMP-020,EMP-003,18178.48,
INV-1677,2025-05-28,V-SPLIT,EMP-013,EMP-011,9832.07,"split PO - same job, separate invoice"
INV-1417,2025-05-28,V-025,EMP-011,EMP-017,7077.3,
INV-1164,2025-05-28,V-010,EMP-010,EMP-003,16694.12,
INV-1468,2025-05-29,V-034,EMP-006,EMP-014,3492.23,
INV-1359,2025-05-29,V-022,EMP-022,EMP-013,13267.43,
INV-1429,2025-05-29,V-025,EMP-015,EMP-017,22488.12,
INV-1383,2025-05-29,V-028,EMP-007,EMP-017,2458.96,
INV-1326,2025-05-30,V-034,EMP-000,EMP-003,17287.28,
INV-1588,2025-05-30,V-034,EMP-005,EMP-010,23499.15,
INV-1343,2025-05-31,V-027,EMP-019,EMP-018,4453.89,
INV-1620,2025-06-01,V-019,EMP-006,EMP-003,17986.07,
INV-1442,2025-06-01,V-019,EMP-022,EMP-013,15383.27,
INV-1344,2025-06-01,V-020,EMP-003,EMP-014,7970.89,
INV-1413,2025-06-02,V-017,EMP-017,EMP-003,5513.08,
INV-1100,2025-06-02,V-024,EMP-015,EMP-014,22634.39,
INV-1475,2025-06-03,V-034,EMP-015,EMP-003,20406.78,
INV-1556,2025-06-03,V-028,EMP-023,EMP-019,7755.99,
INV-1377,2025-06-04,V-001,EMP-015,EMP-021,15459.49,
INV-1144,2025-06-05,V-003,EMP-004,EMP-017,19495.74,
INV-1156,2025-06-05,V-018,EMP-014,EMP-013,11328.45,
INV-1659,2025-06-07,V-GH2,EMP-007,EMP-011,8858.48,"single-source, no PO backup on file"
INV-1522,2025-06-07,V-023,EMP-003,EMP-014,273.91,
INV-1386,2025-06-07,V-031,EMP-016,EMP-019,12045.42,
INV-1015,2025-06-07,V-001,EMP-003,EMP-017,21107.52,
INV-1258,2025-06-08,V-001,EMP-005,EMP-021,16909.37,
INV-1336,2025-06-08,V-002,EMP-006,EMP-014,7676.96,
INV-1278,2025-06-08,V-025,EMP-016,EMP-013,9589.04,
INV-1628,2025-06-08,V-005,EMP-020,EMP-017,6767.61,
INV-1115,2025-06-09,V-019,EMP-003,EMP-010,762.43,
INV-1273,2025-06-10,V-027,EMP-000,EMP-019,22119.72,
INV-1165,2025-06-11,V-025,EMP-024,EMP-014,10997.6,
INV-1044,2025-06-11,V-026,EMP-021,EMP-010,13630.66,
INV-1046,2025-06-11,V-008,EMP-021,EMP-018,7304.93,
INV-1521,2025-06-12,V-024,EMP-022,EMP-017,17790.78,
INV-1727,2025-06-12,V-RING4,EMP-014,EMP-021,8257.92,
INV-1188,2025-06-12,V-021,EMP-021,EMP-019,12876.89,
INV-1380,2025-06-13,V-013,EMP-010,EMP-021,3576.5,
INV-1473,2025-06-13,V-022,EMP-020,EMP-018,18891.44,
INV-1318,2025-06-13,V-024,EMP-002,EMP-010,5505.25,
INV-1262,2025-06-16,V-021,EMP-005,EMP-010,7582.55,
INV-1126,2025-06-16,V-024,EMP-010,EMP-014,11939.21,
INV-1678,2025-06-16,V-SPLIT,EMP-013,EMP-011,9379.89,"split PO - same job, separate invoice"
INV-1275,2025-06-16,V-018,EMP-003,EMP-021,647.43,
INV-1076,2025-06-17,V-019,EMP-016,EMP-021,16055.4,
INV-1679,2025-06-17,V-SPLIT,EMP-013,EMP-011,9339.32,"split PO - same job, separate invoice"
INV-1692,2025-06-17,V-RING1,EMP-014,EMP-021,7870.37,
INV-1300,2025-06-18,V-005,EMP-009,EMP-018,15497.31,
INV-1680,2025-06-18,V-SPLIT,EMP-013,EMP-011,9165.72,"split PO - same job, separate invoice"
INV-1024,2025-06-19,V-003,EMP-007,EMP-013,21744.27,
INV-1704,2025-06-19,V-RING2,EMP-014,EMP-021,5655.62,
INV-1481,2025-06-20,V-013,EMP-015,EMP-003,20886.95,
INV-1533,2025-06-20,V-008,EMP-009,EMP-014,22779.44,
INV-1657,2025-06-21,V-GH2,EMP-007,EMP-011,9735.1,"single-source, no PO backup on file"
INV-1434,2025-06-22,V-016,EMP-022,EMP-017,485.91,
INV-1295,2025-06-23,V-023,EMP-011,EMP-021,9389.88,
INV-1395,2025-06-23,V-007,EMP-004,EMP-013,9544.6,
INV-1010,2025-06-24,V-034,EMP-024,EMP-021,18481.08,
INV-1303,2025-06-24,V-023,EMP-009,EMP-017,22835.39,
INV-1292,2025-06-25,V-028,EMP-003,EMP-019,21594.17,
INV-1557,2025-06-25,V-002,EMP-022,EMP-013,688.65,
INV-1053,2025-06-25,V-009,EMP-008,EMP-021,14575.19,
INV-1554,2025-06-25,V-007,EMP-023,EMP-017,8457.64,
INV-1599,2025-06-25,V-008,EMP-018,EMP-019,11725.31,
INV-1179,2025-06-26,V-031,EMP-004,EMP-019,12995.15,
INV-1583,2025-06-28,V-015,EMP-009,EMP-014,10876.12,
INV-1459,2025-06-28,V-024,EMP-002,EMP-017,15736.79,
INV-1109,2025-06-29,V-030,EMP-000,EMP-014,23997.8,
INV-1133,2025-06-30,V-022,EMP-013,EMP-018,13276.77,
INV-1332,2025-06-30,V-006,EMP-024,EMP-010,3331.82,
INV-1492,2025-06-30,V-031,EMP-014,EMP-017,17626.62,
INV-1346,2025-06-30,V-028,EMP-011,EMP-019,1160.17,
INV-1192,2025-07-03,V-002,EMP-010,EMP-019,1488.44,
INV-1716,2025-07-03,V-RING3,EMP-014,EMP-021,21809.27,
INV-1200,2025-07-03,V-030,EMP-003,EMP-013,9245.54,
INV-1603,2025-07-04,V-019,EMP-005,EMP-021,2376.16,
INV-1328,2025-07-04,V-011,EMP-021,EMP-018,2191.89,
INV-1439,2025-07-04,V-021,EMP-009,EMP-014,6388.04,
INV-1546,2025-07-04,V-026,EMP-017,EMP-014,19008.69,
INV-1447,2025-07-05,V-005,EMP-016,EMP-019,12746.93,
INV-1276,2025-07-05,V-010,EMP-019,EMP-003,19993.82,
INV-1060,2025-07-06,V-009,EMP-013,EMP-017,1147.62,
INV-1308,2025-07-06,V-010,EMP-023,EMP-019,1192.06,
INV-1207,2025-07-06,V-002,EMP-009,EMP-019,945.74,
INV-1391,2025-07-07,V-008,EMP-008,EMP-010,18367.98,
INV-1681,2025-07-07,V-SPLIT,EMP-013,EMP-011,9219.78,"split PO - same job, separate invoice"
INV-1209,2025-07-07,V-011,EMP-006,EMP-017,18908.33,
INV-1594,2025-07-08,V-005,EMP-012,EMP-021,16718.68,
INV-1341,2025-07-08,V-021,EMP-005,EMP-019,16655.83,
INV-1362,2025-07-08,V-031,EMP-000,EMP-010,13363.41,
INV-1682,2025-07-08,V-SPLIT,EMP-013,EMP-011,9777.73,"split PO - same job, separate invoice"
INV-1478,2025-07-09,V-021,EMP-020,EMP-013,22145.09,
INV-1215,2025-07-10,V-016,EMP-018,EMP-003,19764.65,
INV-1351,2025-07-10,V-009,EMP-021,EMP-003,22779.44,
INV-1313,2025-07-10,V-008,EMP-008,EMP-014,15442.12,
INV-1249,2025-07-10,V-005,EMP-013,EMP-014,17908.45,
