transaction_id,vendor_id,vendor_name,department,invoice_number,amount,posting_datetime,approved_by,is_planted_anomaly,anomaly_type
T101306,V1000,"Rodriguez, Figueroa and Sanchez",Marketing,INV-30290,929.89,2025-01-03 14:21:00,Jessica J.,False,
T103336,V1033,Koch-Decker,Operations,INV-43357,58047.89,2025-01-03 15:10:00,Dennis N.,False,
T102494,V1001,Rhodes PLC,IT,INV-40945,188909.92,2025-01-03 15:29:00,Austin J.,False,
T105983,V1073,"Walters, Baker and Freeman",Operations,INV-58305,20632.12,2025-01-03 15:48:00,Steven C.,False,
T103374,V1116,Larsen LLC,Marketing,INV-47272,36039.66,2025-01-03 15:58:00,Marcus R.,False,
T103040,V1043,"Young, Caldwell and Lewis",Legal,INV-36013,75613.19,2025-01-03 17:22:00,Tina M.,False,
T100856,V1069,"Riggs, Roman and Rice",Facilities,INV-36972,71380.66,2025-01-03 17:45:00,Sheryl L.,False,
T105100,V1115,"Griffin, Moore and Hensley",Marketing,INV-15573,45295.71,2025-01-03 19:06:00,Catherine L.,False,
T103031,V1052,Martin Group,HR,INV-34400,78094.2,2025-01-03 19:22:00,James M.,False,
T105033,V1112,Grant Inc,Facilities,INV-15314,82271.1,2025-01-03 19:33:00,Mary H.,False,
T104228,V1069,"Riggs, Roman and Rice",Marketing,INV-73418,104158.04,2025-01-06 08:36:00,Andrew F.,False,
T103267,V1050,Ramos PLC,Legal,INV-88266,21498.58,2025-01-06 09:35:00,Colleen H.,False,
T103204,V1120,Mccarthy Inc,IT,INV-34607,14063.48,2025-01-06 09:48:00,Lisa W.,False,
T106095,V9999,Meridian Consulting Partners LLC,Operations,INV-74648,6632.25,2025-01-06 10:04:00,Marcus T.,True,fabricated_invoice_benford
T105415,V1001,Rhodes PLC,Legal,INV-31531,25465.88,2025-01-06 10:13:00,Calvin W.,False,
T102632,V1050,Ramos PLC,Marketing,INV-70844,232924.97,2025-01-06 10:29:00,Nicole M.,False,
T101801,V1080,Fleming Ltd,Facilities,INV-46913,125096.65,2025-01-06 11:40:00,Jonathan R.,False,
T105170,V1127,Price Ltd,Operations,INV-63626,27400.94,2025-01-06 11:58:00,Gloria J.,False,
T100836,V1094,"Lee, Williams and Graham",IT,INV-39098,20313.62,2025-01-06 12:06:00,Charles A.,False,
T103818,V1115,"Griffin, Moore and Hensley",Marketing,INV-33491,31085.02,2025-01-06 12:20:00,Eric M.,False,
T102340,V1080,Fleming Ltd,Facilities,INV-52368,31847.68,2025-01-06 12:30:00,Deanna B.,False,
T103952,V1075,Smith and Sons,HR,INV-97843,25304.48,2025-01-06 12:31:00,James G.,False,
T100670,V1121,Daniels-Perry,HR,INV-57127,47462.85,2025-01-06 13:16:00,Sandra B.,False,
T101066,V1119,Taylor and Sons,Facilities,INV-42707,7563.43,2025-01-06 13:16:00,Alexander T.,False,
T105945,V1011,Stanley LLC,Procurement,INV-48728,70431.09,2025-01-06 13:35:00,John T.,False,
T104753,V1107,Riggs PLC,Facilities,INV-87781,26277.26,2025-01-06 13:43:00,Lindsey H.,False,
T105297,V1043,"Young, Caldwell and Lewis",Facilities,INV-37355,49901.24,2025-01-06 13:58:00,Howard M.,False,
T100214,V1034,Allen PLC,Facilities,INV-21221,112532.79,2025-01-06 14:33:00,Chelsea H.,False,
T104266,V1073,"Walters, Baker and Freeman",Procurement,INV-78238,16578.22,2025-01-06 14:40:00,Brian G.,False,
T103384,V1094,"Lee, Williams and Graham",Procurement,INV-52317,9188.35,2025-01-06 15:08:00,Susan S.,False,
T103591,V1080,Fleming Ltd,Marketing,INV-80283,72292.96,2025-01-06 15:14:00,Joshua M.,False,
T104677,V1020,"Ellis, Baker and Wright",Procurement,INV-49773,7173.94,2025-01-06 15:17:00,Jessica H.,False,
T104784,V1043,"Young, Caldwell and Lewis",Procurement,INV-76872,153194.12,2025-01-06 15:23:00,Andrew R.,False,
T104736,V1012,Delacruz Group,Operations,INV-49349,41737.09,2025-01-06 15:44:00,Dalton C.,False,
T104524,V1115,"Griffin, Moore and Hensley",Operations,INV-12518,37962.87,2025-01-06 17:47:00,Holly S.,False,
T102660,V1080,Fleming Ltd,IT,INV-13934,46089.04,2025-01-06 18:04:00,Autumn A.,False,
T103854,V1012,Delacruz Group,Marketing,INV-57315,25641.62,2025-01-06 18:12:00,Steven M.,False,
T104539,V1050,Ramos PLC,Legal,INV-54713,109106.74,2025-01-07 07:47:00,George W.,False,
T105875,V1120,Mccarthy Inc,Legal,INV-45808,19218.39,2025-01-07 07:59:00,Diana B.,False,
T101768,V1062,Donovan-Harris,Marketing,INV-75358,27915.12,2025-01-07 08:29:00,Nathan L.,False,
T100232,V1134,"Williams, Crane and Walker",IT,INV-71524,26852.72,2025-01-07 09:36:00,Joshua D.,False,
T102157,V1086,Garrison and Sons,Operations,INV-46885,13953.99,2025-01-07 10:08:00,Jennifer L.,False,
T104941,V1050,Ramos PLC,Facilities,INV-64837,45690.57,2025-01-07 10:08:00,Janet B.,False,
T103804,V1121,Daniels-Perry,Operations,INV-25922,42863.13,2025-01-07 11:10:00,Elizabeth G.,False,
T103632,V1011,Stanley LLC,IT,INV-84506,85530.55,2025-01-07 12:07:00,Kathleen W.,False,
T101935,V1092,Johnson-Carlson,Legal,INV-68827,9460.3,2025-01-07 12:18:00,Joseph L.,False,
T103447,V1052,Martin Group,IT,INV-49470,83713.97,2025-01-07 12:52:00,Crystal D.,False,
T104076,V1104,Campbell Ltd,HR,INV-78697,98809.24,2025-01-07 12:53:00,Danielle M.,False,
T100202,V1080,Fleming Ltd,Marketing,INV-74251,39114.25,2025-01-07 12:54:00,Taylor J.,False,
T102850,V1043,"Young, Caldwell and Lewis",Legal,INV-22098,25774.83,2025-01-07 13:07:00,Brian S.,False,
T104785,V1080,Fleming Ltd,Operations,INV-97282,39062.59,2025-01-07 13:07:00,Scott W.,False,
T101287,V1118,Nelson LLC,Procurement,INV-13312,35391.01,2025-01-07 13:33:00,Ashley A.,False,
T103050,V1104,Campbell Ltd,HR,INV-40999,93535.66,2025-01-07 13:49:00,Laura A.,False,
T102414,V1001,Rhodes PLC,HR,INV-72537,241127.91,2025-01-07 14:10:00,Caitlin U.,False,
T102835,V1088,Johnson and Sons,Operations,INV-59054,40279.94,2025-01-07 14:55:00,Ryan E.,False,
T104670,V1112,Grant Inc,Legal,INV-33713,20867.63,2025-01-07 15:13:00,Sydney O.,False,
T104325,V1003,"Johnson, Gonzalez and Santos",Facilities,INV-12722,9603.89,2025-01-07 15:18:00,Michael C.,False,
T102637,V1118,Nelson LLC,HR,INV-18853,48244.41,2025-01-07 15:38:00,James C.,False,
T105901,V1104,Campbell Ltd,Operations,INV-17966,30821.0,2025-01-07 15:41:00,Tyler D.,False,
T102054,V1007,Davis Inc,HR,INV-63296,22854.67,2025-01-07 15:44:00,Heidi H.,False,
T102788,V1094,"Lee, Williams and Graham",Facilities,INV-70132,10965.84,2025-01-07 16:24:00,April S.,False,
T104369,V1033,Koch-Decker,IT,INV-60430,82814.09,2025-01-07 18:00:00,Mary M.,False,
T104565,V1035,Dennis Inc,HR,INV-21564,29151.73,2025-01-07 18:47:00,Amy G.,False,
T103437,V1050,Ramos PLC,Marketing,INV-66088,65689.17,2025-01-07 19:42:00,Renee C.,False,
T101839,V1033,Koch-Decker,Operations,INV-77378,71340.04,2025-01-08 07:39:00,Rodney B.,False,
T101994,V1067,Ibarra-Suarez,HR,INV-16548,25597.04,2025-01-08 08:11:00,Brandon W.,False,
T100734,V1048,Lee PLC,Facilities,INV-25376,4146.76,2025-01-08 08:13:00,Angela W.,False,
T100340,V1055,Horton-Cross,Operations,INV-26199,31582.83,2025-01-08 08:16:00,Katherine J.,False,
T105377,V1112,Grant Inc,Marketing,INV-65830,61290.87,2025-01-08 09:35:00,Lisa C.,False,
T103873,V1121,Daniels-Perry,Marketing,INV-64575,54964.88,2025-01-08 09:42:00,Jared B.,False,
T101688,V1139,Oconnell Inc,HR,INV-24585,40957.03,2025-01-08 10:21:00,Joshua H.,False,
T100278,V1073,"Walters, Baker and Freeman",Marketing,INV-22217,25583.54,2025-01-08 10:35:00,Brian F.,False,
T100367,V1033,Koch-Decker,Legal,INV-41186,80670.15,2025-01-08 11:22:00,Kim S.,False,
T104073,V1115,"Griffin, Moore and Hensley",Procurement,INV-54874,61025.18,2025-01-08 11:42:00,Kenneth A.,False,
T100299,V1003,"Johnson, Gonzalez and Santos",Facilities,INV-63736,7510.88,2025-01-08 11:46:00,Christopher M.,False,
T101921,V1087,Bailey-Hoover,Procurement,INV-89144,7773.55,2025-01-08 11:47:00,Casey T.,False,
T105939,V1112,Grant Inc,Facilities,INV-33033,40863.13,2025-01-08 12:11:00,Joanna R.,False,
T100946,V1080,Fleming Ltd,Facilities,INV-15220,30772.44,2025-01-08 12:16:00,Jennifer W.,False,
T104686,V1009,"Martinez, Nielsen and Miller",Procurement,INV-40776,10740.44,2025-01-08 13:07:00,Benjamin B.,False,
T105138,V1118,Nelson LLC,Legal,INV-79414,31627.45,2025-01-08 13:30:00,Valerie B.,False,
T103016,V1035,Dennis Inc,Facilities,INV-10955,34643.73,2025-01-08 13:39:00,Jose G.,False,
T103627,V1139,Oconnell Inc,Legal,INV-99469,135797.3,2025-01-08 14:17:00,Ashley K.,False,
T102331,V1121,Daniels-Perry,Operations,INV-67037,48752.69,2025-01-08 14:45:00,Heather T.,False,
T100662,V1073,"Walters, Baker and Freeman",IT,INV-48669,31730.96,2025-01-08 14:47:00,Thomas B.,False,
T101186,V1088,Johnson and Sons,IT,INV-79603,58661.18,2025-01-08 14:57:00,Stacy C.,False,
T102787,V1033,Koch-Decker,HR,INV-51450,81651.36,2025-01-08 15:25:00,Leon O.,False,
T106008,V1012,Delacruz Group,Operations,INV-49349,41737.09,2025-01-08 15:44:00,Dalton C.,True,duplicate_payment
T105432,V1034,Allen PLC,Facilities,INV-93763,59347.61,2025-01-08 15:53:00,Meredith P.,False,
T100074,V1134,"Williams, Crane and Walker",Legal,INV-40982,60458.9,2025-01-08 16:05:00,Justin H.,False,
T103279,V1121,Daniels-Perry,Legal,INV-57683,27041.88,2025-01-08 16:23:00,Wayne S.,False,
T103468,V1139,Oconnell Inc,Procurement,INV-38485,47730.78,2025-01-08 16:29:00,Melissa P.,False,
T105043,V1007,Davis Inc,Marketing,INV-20443,22137.07,2025-01-08 16:43:00,Angela S.,False,
T104581,V1011,Stanley LLC,Marketing,INV-29647,54493.34,2025-01-09 07:25:00,Shawn R.,False,
T105681,V1115,"Griffin, Moore and Hensley",IT,INV-63154,15628.04,2025-01-09 07:39:00,Carl F.,False,
T101649,V1001,Rhodes PLC,Facilities,INV-49562,37675.54,2025-01-09 09:33:00,Elijah K.,False,
T104732,V1121,Daniels-Perry,IT,INV-25869,28835.88,2025-01-09 10:01:00,Chad B.,False,
T105527,V1070,"Evans, Alvarado and Mcmillan",IT,INV-29619,35389.1,2025-01-09 10:39:00,Wendy M.,False,
T100911,V1033,Koch-Decker,Legal,INV-30707,78509.3,2025-01-09 11:07:00,Sarah Y.,False,
T102778,V1043,"Young, Caldwell and Lewis",Procurement,INV-11908,20308.97,2025-01-09 11:26:00,George W.,False,
T103291,V1050,Ramos PLC,Marketing,INV-23588,78751.12,2025-01-09 11:39:00,Justin W.,False,
T105251,V1069,"Riggs, Roman and Rice",Operations,INV-93393,82199.73,2025-01-09 11:49:00,Rebekah S.,False,
T102008,V1055,Horton-Cross,Marketing,INV-20580,60020.23,2025-01-09 11:56:00,Ashley M.,False,
T100759,V1001,Rhodes PLC,Operations,INV-82305,96927.27,2025-01-09 12:00:00,John M.,False,
T104851,V1011,Stanley LLC,Procurement,INV-84873,36170.91,2025-01-09 12:10:00,Kathryn B.,False,
T101337,V1033,Koch-Decker,HR,INV-25506,92826.87,2025-01-09 12:24:00,Jenna H.,False,
T103969,V1069,"Riggs, Roman and Rice",IT,INV-49017,49594.21,2025-01-09 12:28:00,Aaron W.,False,
T105347,V1034,Allen PLC,Marketing,INV-43455,40553.35,2025-01-09 12:45:00,Jeffrey L.,False,
T104915,V1136,"Hernandez, Martinez and Caldwell",Marketing,INV-93683,3584.06,2025-01-09 13:13:00,Tommy W.,False,
T105955,V1104,Campbell Ltd,Legal,INV-62989,26594.15,2025-01-09 13:29:00,Daniel B.,False,
T105106,V1139,Oconnell Inc,Facilities,INV-26601,75654.57,2025-01-09 13:30:00,Denise T.,False,
T102145,V1073,"Walters, Baker and Freeman",IT,INV-31344,34111.92,2025-01-09 13:54:00,Jack H.,False,
T105037,V1118,Nelson LLC,Legal,INV-93888,33410.69,2025-01-09 14:32:00,Hannah G.,False,
T104193,V1017,Underwood LLC,HR,INV-94850,2116.99,2025-01-09 15:17:00,Cassandra T.,False,
T103280,V1074,Davis Group,IT,INV-75809,21710.51,2025-01-09 15:19:00,Dominique S.,False,
T104891,V1062,Donovan-Harris,Facilities,INV-88988,48422.43,2025-01-09 15:51:00,Daniel B.,False,
T102163,V1127,Price Ltd,IT,INV-50838,9271.75,2025-01-09 16:30:00,John M.,False,
T104515,V1052,Martin Group,Operations,INV-64753,120516.6,2025-01-09 16:39:00,Sarah L.,False,
T102884,V1088,Johnson and Sons,IT,INV-15997,36258.94,2025-01-09 16:40:00,Madison H.,False,
T103414,V1011,Stanley LLC,Marketing,INV-34514,60423.42,2025-01-09 16:57:00,Mary S.,False,
T104151,V1112,Grant Inc,Marketing,INV-14205,28062.88,2025-01-09 17:36:00,Sean R.,False,
T104163,V1115,"Griffin, Moore and Hensley",Facilities,INV-52255,65826.07,2025-01-10 07:00:00,Amanda H.,False,
T101248,V1080,Fleming Ltd,Marketing,INV-64046,101464.19,2025-01-10 09:06:00,Adam M.,False,
T101967,V1069,"Riggs, Roman and Rice",Marketing,INV-29510,105964.92,2025-01-10 09:57:00,Andrew G.,False,
T102540,V1137,Marshall LLC,Legal,INV-36975,19304.5,2025-01-10 10:17:00,Margaret T.,False,
T101030,V1127,Price Ltd,Legal,INV-57069,16704.65,2025-01-10 10:24:00,Ruben M.,False,
T104122,V1055,Horton-Cross,HR,INV-36504,20795.47,2025-01-10 10:52:00,Patricia O.,False,
T100498,V1025,James-Ferrell,Facilities,INV-29597,32538.01,2025-01-10 11:16:00,Wendy C.,False,
T101699,V1069,"Riggs, Roman and Rice",Legal,INV-95119,60906.75,2025-01-10 11:18:00,Juan H.,False,
T104596,V1088,Johnson and Sons,IT,INV-64657,116447.82,2025-01-10 11:28:00,Samantha H.,False,
T101613,V1134,"Williams, Crane and Walker",Legal,INV-57720,124558.2,2025-01-10 12:39:00,David S.,False,
T102262,V1052,Martin Group,HR,INV-77662,84180.76,2025-01-10 12:40:00,Jacob W.,False,
T103993,V1009,"Martinez, Nielsen and Miller",IT,INV-38974,15263.84,2025-01-10 12:45:00,Anthony W.,False,
T101375,V1035,Dennis Inc,Operations,INV-92788,15857.94,2025-01-10 12:54:00,Christine K.,False,
T103064,V1050,Ramos PLC,Facilities,INV-21919,125316.96,2025-01-10 13:39:00,Cody R.,False,
T102413,V1055,Horton-Cross,Marketing,INV-25293,31229.44,2025-01-10 15:00:00,Tracey C.,False,
T101572,V1119,Taylor and Sons,Procurement,INV-80119,3295.22,2025-01-10 15:09:00,Candice A.,False,
T101412,V1139,Oconnell Inc,HR,INV-96736,183005.6,2025-01-10 15:56:00,Nicholas B.,False,
T101196,V1073,"Walters, Baker and Freeman",Facilities,INV-27197,34901.23,2025-01-10 16:14:00,Janet T.,False,
T101706,V1134,"Williams, Crane and Walker",HR,INV-56125,121703.56,2025-01-10 19:22:00,John A.,False,
T102433,V1001,Rhodes PLC,Operations,INV-51399,81671.81,2025-01-10 19:27:00,Joseph N.,False,
T104644,V1034,Allen PLC,HR,INV-39559,109132.98,2025-01-13 07:03:00,Andrew T.,False,
T104620,V1139,Oconnell Inc,HR,INV-94408,86978.93,2025-01-13 08:01:00,Christopher N.,False,
T102112,V1094,"Lee, Williams and Graham",Operations,INV-38883,25972.62,2025-01-13 09:25:00,Zoe M.,False,
T102545,V1112,Grant Inc,Operations,INV-51599,25391.56,2025-01-13 09:55:00,William M.,False,
T105841,V1001,Rhodes PLC,HR,INV-95370,61802.72,2025-01-13 10:38:00,Natasha B.,False,
T104576,V1120,Mccarthy Inc,Facilities,INV-51513,34377.77,2025-01-13 10:55:00,Sara T.,False,
T105630,V1002,Johnson-Davis,IT,INV-36062,16780.08,2025-01-13 11:05:00,Mark B.,False,
T104914,V1011,Stanley LLC,Marketing,INV-36044,85072.64,2025-01-13 11:20:00,Gabriel R.,False,
T103686,V1094,"Lee, Williams and Graham",Facilities,INV-19570,12536.34,2025-01-13 11:44:00,Robert F.,False,
T104871,V1050,Ramos PLC,Operations,INV-41991,79700.49,2025-01-13 12:43:00,Sara S.,False,
T101322,V1127,Price Ltd,Operations,INV-59146,13535.79,2025-01-13 12:58:00,Sean H.,False,
T105706,V1055,Horton-Cross,Operations,INV-67028,33908.43,2025-01-13 13:01:00,Kelly M.,False,
T103654,V1073,"Walters, Baker and Freeman",Operations,INV-57223,23331.58,2025-01-13 13:20:00,Vanessa S.,False,
T103214,V1134,"Williams, Crane and Walker",Legal,INV-60084,91246.19,2025-01-13 13:37:00,Marilyn T.,False,
T102614,V1052,Martin Group,Facilities,INV-65550,111424.73,2025-01-13 13:47:00,Blake R.,False,
T103508,V1113,Contreras-Travis,Operations,INV-68171,27376.02,2025-01-13 13:53:00,Kayla C.,False,
T104518,V1115,"Griffin, Moore and Hensley",IT,INV-31873,44811.86,2025-01-13 15:31:00,April R.,False,
T104930,V1011,Stanley LLC,Facilities,INV-92663,39752.84,2025-01-13 15:32:00,David O.,False,
T101984,V1012,Delacruz Group,Operations,INV-41258,21703.64,2025-01-13 15:46:00,Felicia C.,False,
T104777,V1116,Larsen LLC,Procurement,INV-84766,41743.84,2025-01-13 16:10:00,Barry Y.,False,
T102618,V1001,Rhodes PLC,Legal,INV-92090,40351.6,2025-01-13 16:37:00,Amber B.,False,
T100344,V1080,Fleming Ltd,Operations,INV-52992,81271.25,2025-01-13 17:39:00,Nicole D.,False,
T104398,V1043,"Young, Caldwell and Lewis",Procurement,INV-52141,24785.65,2025-01-13 19:31:00,David C.,False,
T103937,V1070,"Evans, Alvarado and Mcmillan",Operations,INV-33351,36682.09,2025-01-14 07:14:00,Stephanie M.,False,
T102635,V1093,Graham-Joyce,Operations,INV-53017,9198.32,2025-01-14 09:29:00,Fred R.,False,
T101157,V1073,"Walters, Baker and Freeman",Marketing,INV-48745,38826.59,2025-01-14 09:41:00,Sean H.,False,
T100194,V1134,"Williams, Crane and Walker",IT,INV-85470,35368.58,2025-01-14 09:59:00,Renee M.,False,
T104177,V1074,Davis Group,Legal,INV-37339,9233.84,2025-01-14 10:28:00,Julie W.,False,
T103618,V1001,Rhodes PLC,Operations,INV-54068,92641.27,2025-01-14 10:58:00,Marcus S.,False,
T102759,V1001,Rhodes PLC,HR,INV-98555,30700.2,2025-01-14 11:04:00,Tina C.,False,
T104205,V1094,"Lee, Williams and Graham",Procurement,INV-71669,20219.04,2025-01-14 11:21:00,Chris S.,False,
T100403,V1115,"Griffin, Moore and Hensley",HR,INV-45054,61479.4,2025-01-14 11:38:00,Scott H.,False,
T103177,V1134,"Williams, Crane and Walker",Marketing,INV-58717,132098.24,2025-01-14 11:44:00,George A.,False,
T103490,V1092,Johnson-Carlson,Marketing,INV-21590,17860.54,2025-01-14 11:49:00,Jerry W.,False,
T105224,V1104,Campbell Ltd,HR,INV-13172,49650.39,2025-01-14 11:49:00,Justin L.,False,
T102421,V1126,Freeman LLC,Marketing,INV-95016,10549.33,2025-01-14 12:13:00,Brian M.,False,
T101918,V1033,Koch-Decker,Marketing,INV-20814,102505.55,2025-01-14 12:18:00,Heather N.,False,
T104322,V1092,Johnson-Carlson,Facilities,INV-38701,24026.78,2025-01-14 12:31:00,Kurt F.,False,
T105474,V1080,Fleming Ltd,Operations,INV-69245,33129.75,2025-01-14 12:59:00,Elaine N.,False,
T105763,V1112,Grant Inc,Operations,INV-16137,29359.35,2025-01-14 13:16:00,Dawn P.,False,
T105327,V1092,Johnson-Carlson,Facilities,INV-99772,12354.94,2025-01-14 13:24:00,Randy L.,False,
T100491,V1088,Johnson and Sons,Procurement,INV-61964,33611.7,2025-01-14 14:26:00,April M.,False,
T105239,V1080,Fleming Ltd,Operations,INV-16403,55023.5,2025-01-14 15:02:00,Stephanie W.,False,
T105391,V1033,Koch-Decker,Procurement,INV-59177,168676.4,2025-01-14 15:03:00,Hannah R.,False,
T100799,V1050,Ramos PLC,IT,INV-82642,137575.35,2025-01-14 15:05:00,Susan S.,False,
T105669,V1034,Allen PLC,Marketing,INV-17053,145144.7,2025-01-14 15:09:00,Michele P.,False,
T104170,V1034,Allen PLC,Operations,INV-15171,134888.43,2025-01-14 15:34:00,Dennis R.,False,
T104060,V1121,Daniels-Perry,IT,INV-83864,65581.58,2025-01-14 16:14:00,Keith S.,False,
T105298,V1052,Martin Group,Procurement,INV-86820,122219.57,2025-01-14 16:51:00,Adam C.,False,
T105668,V1113,Contreras-Travis,Procurement,INV-30469,61349.35,2025-01-14 17:16:00,Erin R.,False,
T102235,V1139,Oconnell Inc,HR,INV-54729,66302.38,2025-01-14 18:48:00,Laura M.,False,
T103415,V1002,Johnson-Davis,HR,INV-79584,29866.02,2025-01-15 08:30:00,David H.,False,
T102337,V1113,Contreras-Travis,IT,INV-40865,29848.75,2025-01-15 09:18:00,Richard G.,False,
T100177,V1025,James-Ferrell,IT,INV-97670,13138.19,2025-01-15 10:24:00,Melissa R.,False,
T105854,V1127,Price Ltd,Facilities,INV-41787,23275.7,2025-01-15 10:27:00,Kelsey R.,False,
